bl_name,new_name_phylo,new_name_db,notes
Anthornis_melanocephala,NA,NA,extinct
Apteryx_rowi,NA,NA,
Ardenna_bulleri,Puffinus bulleri,NA,
Ardenna_carneipes,Puffinus carneipes,NA,
Ardenna_gravis,Puffinus_gravis,NA,
Ardenna_grisea,Puffinus_griseus,NA,
Ardenna_pacifica,Puffinus_pacificus,NA,
Ardenna_tenuirostris,Puffinus_tenuirostris,NA,
Bowdleria_rufescens,NA,NA,extinct
Cabalus_modestus,NA,NA,extinct
Calidris_pugnax,Philomachus pugnax,NA,
Calonectris_borealis,NA,NA,former subspecies
Chaetoptila_angustipluma,NA,NA,extinct
Chalcites_lucidus,Chrysococcyx lucidus,NA,
Charadrius_aquilonius,NA,NA,former subspecies
Charadrius_nivosus,NA,NA,former subspecies
Chasiempis_ibidis,NA,NA,former subspecies
Chasiempis_sclateri,NA,NA,former subspecies
Chenonetta_finschi,NA,NA,extinct
Chlidonias_albostriatus,Sterna albostriata,NA,
Chloridops_kona,NA,NA,extinct
Circus_hudsonius,NA,NA,former subspecies
Ciridops_anna,NA,NA,extinct
Coenocorypha_barrierensis,NA,NA,extinct
Conuropsis_carolinensis,NA,NA,extinct
Coturnix_novaezelandiae,NA,NA,extinct
Drepanis_funerea,NA,NA,extinct
Drepanis_pacifica,NA,NA,extinct
Dryobates_pubescens,Picoides pubescens,NA,
Dysmorodrepanis_munroi,NA,NA,extinct
Ectopistes_migratorius,NA,NA,extinct
Fregetta_maoriana,Oceanites maorianus,NA,
Gallinago_delicata,NA,NA,former subspecies
Gallinula_galeata,NA,NA,former subspecies
Hemignathus_ellisianus,NA,NA,extinct
Hemignathus_obscurus,NA,NA,extinct
Hemignathus_sagittirostris,NA,NA,extinct
Hemiphaga_chathamensis,NA,NA,former subspecies
Heteralocha_acutirostris,NA,NA,extinct
Hydrobates_castro,Oceanodroma_castro,NA,
Hydrobates_tristrami,Oceanodroma_tristrami,NA,
Hylatomus_pileatus,Dryocopus_pileatus,NA,
Hypotaenidia_dieffenbachii,NA,NA,extinct
Ixobrychus_novaezelandiae,NA,NA,extinct
Larus_smithsonianus,NA,NA,former subspecies
Leuconotopicus_borealis,Picoides_borealis,NA,
Leuconotopicus_villosus,Picoides_villosus,NA,
Mareca_penelope,Anas_penelope,NA,
Mareca_strepera,Anas_strepera,NA,
Melanitta_americana,NA,NA,former subspecies
Melanitta_deglandi,NA,NA,former subspecies
Mergus_australis,NA,NA,extinct
Moho_apicalis,NA,NA,extinct
Moho_bishopi,NA,NA,extinct
Moho_braccatus,NA,NA,extinct
Moho_nobilis,NA,NA,extinct
Myadestes_myadestinus,NA,NA,extinct
Myadestes_woahensis,NA,NA,extinct
Paroreomyza_flammea,NA,NA,extinct
Pinguinus_impennis,NA,NA,extinct
Porphyrio_mantelli,NA,NA,extinct
Pterodroma_deserta,NA,NA,former subspecies
Pterodroma_gouldi,NA,NA,former subspecies
Puffinus_elegans,NA,NA,former subspecies
Rallus_crepitans,NA,NA,former subspecies
Rhodacanthis_flaviceps,NA,NA,extinct
Rhodacanthis_palmeri,NA,NA,extinct
Sceloglaux_albifacies,NA,NA,extinct
Spatula_clypeata,Anas_clypeata,NA,
Spatula_discors,Anas_discors,NA,
Spatula_querquedula,Anas_querquedula,NA,
Spatula_rhynchotis,Anas_rhynchotis,NA,
Spilopelia_chinensis,Stigmatopelia_chinensis,NA,
Tribonyx_hodgenorum,NA,NA,extinct
Turnagra_capensis,NA,NA,extinct
Turnagra_tanagra,NA,NA,extinct
Vanellus_novaehollandiae,NA,NA,former subspecies
Vermivora_cyanoptera,Vermivora_pinus,NA,
Xenicus_longipes,NA,NA,extinct
Zapornia_pusilla,Porzana_pusilla,NA,
Zapornia_sandwichensis,NA,NA,extinct
Zapornia_tabuensis,Porzana_tabuensis,NA,
Aerodramus_francicus,NA,NA,former subspecies
